name,region,cityProvince,address,holes,phone,certified,status,lat,lng
단성(묵곡) 파크골프장,경남,경남,경상남도 산청군 단성면 성철로 93번길(겁외사 옆),18,,False,공개,37.5085,127.0632
대가야파크골프장,경북,경북,경상북도 고령군 대가야읍 장기리 320-1,36,,False,공개,37.5085,127.0632
대산파크골프장,경남,경남,경상남도 창원시 의창구 대산면 북부리 195-3,90,,True,공개,37.5085,127.0632
대원레포츠공원 파크골프장,경남,경남,경상남도 창원시 의창구 두대로 46 (대상공원내),9,,False,공개,37.5085,127.0632
덕산파크골프장,경북,경북,경상북도 칠곡군 약목면 덕산리 348-7,9,,False,공개,36.03352,128.39538
도개파크골프장,경북,경북,경상북도 구미시 도개면 궁기리 829-1,36,,False,공개,37.5085,127.0632
도천파크골프장,경남,경남,경상남도 창녕군 도천면 도천리 770,18,,False,공개,37.5085,127.0632
동락파크골프장,경북,경북,경상북도 구미시 진평동 880,36,,False,공개,36.09871,128.41633
동부5개면파크골프장,경남,경남,경상남도 진주시 사봉면 사군로 583,18,,False,공개,35.2037943,128.3114036
동부권파크골프장,경남,경남,경상남도 적중면 상부리242,18,,False,공개,37.5085,127.0632
마전비치파크골프장,경남,경남,경상남도 창원시 마산합포구 구산면 해양관광로 722-69,18,,False,공개,35.0961028,128.5527759
마전비치파크골프장,경남,경남,경상남도 창원시 마산합포구 구산면 해양관광로 722-69,18,,False,공개,35.0961028,128.5527759
매전파크골프장,경북,경북,경상북도 청도군 매전면 온장길 123 장연생태공원,18,,False,공개,37.5085,127.0632
무안파크골프장,경남,경남,경상남도 밀양시 무안면 신법리 262-2,9,,False,공개,37.5085,127.0632
문경파크골프장,경북,경북,경상북도 문경시 창리강길45,45,,False,공개,37.5085,127.0632
밀양파크골프장,경남,경남,경상남도 밀양시 삼문동 631번지,45,,False,공개,37.5085,127.0632
벽진면파크골프장,경북,경북,경상북도 성주군 벽진면 체육공원,9,,False,공개,37.5085,127.0632
병곡파크골프장,경북,경북,경상북도 영덕군 병곡면 송천리 434-1,36,,False,공개,37.5085,127.0632
봉산파크골프장,경남,경남,경상남도 합천군 봉산면 서부로4344-11,9,,False,공개,37.5085,127.0632
봉화파크골프장,경북,경북,경상북도 봉화군 봉화읍 내성리 내성천 둔치,18,,False,공개,37.5085,127.0632
북면 장애인 파크골프장,경남,경남,경상남도 창원시 의창구 북면 외산리 42-2,18,,False,공개,37.5085,127.0632
북부권파크골프장,경남,경남,경상남도 합천군 야로면 월광리388-1,18,,False,공개,37.5085,127.0632
북삼파크골프장,경북,경북,경상북도 칠곡군 북삼읍 어로리 743=1,18,,False,공개,36.04061,128.32928
비안파크골프장,경북,경북,경상북도 의성군 비안면 이두리 이두교,18,,False,공개,36.3367671,128.4978969
사곡파크골프장,경북,경북,경상북도 의성군 사곡면 의성사곡로 995-9,9,,False,공개,36.3174332,128.7626167
산청(모고)파크골프장,경남,경남,경상남도 산청군 산청읍 모고리,9,,False,공개,37.5085,127.0632
삼량진파크골프장,경남,경남,경상남도 밀양시 삼량진읍 송지리 456-6,9,,False,공개,37.5085,127.0632
삼신교통부지 파크골프장,경남,경남,경상남도 양산시 삼신교통부지,9,,False,공개,37.5085,127.0632
상주파크골프장,경북,경북,경상북도 상주시 병성천2길44,36,,False,공개,37.5085,127.0632
생비량파크골프장,경남,경남,경상남도 산청군 생비량면 가계리 939-2 생활체육공원내,9,,False,공개,37.5085,127.0632
서의성파크골프장,경북,경북,경상북도 의성군 안계면 소보안계로 1907,54,,False,공개,37.5085,127.0632
석적파크골프장,경북,경북,경상북도 칠곡군 석적읍 남율리 403,36,,False,공개,36.06357,128.4017
선남면파크골프장,경북,경북,경상북도 성주군 선남면 관화리 714 체육공원 내,18,,False,공개,37.5085,127.0632
선산파크골프장,경북,경북,경상북도 구미시 선산읍 원리1057-26,36,,False,공개,37.5085,127.0632
성주읍파크골프장,경북,경북,경상북도 성주군 성주읍 경산리 경산교 일대 (성밖숲 건너편),9,,False,공개,37.5085,127.0632
